snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt.retrievedAt
Abebe Belew,29720582,151000,1051,2023-03-20 23:04:40 UTC
Adebabay Media,12983260,99000,912,2023-03-20 23:04:40 UTC
Alpha Media አልፋ ሚዲያ,5153698,39400,944,2023-03-20 23:04:40 UTC
Anchor Ethiopia ,5959800,78500,214,2023-03-20 23:04:40 UTC
Andafta,268829307,889000,5948,2023-03-20 23:04:40 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,606077,15500,85,2023-03-20 23:04:40 UTC
Ashara Media - አሻራ ሚዲያ,2645323,33800,727,2023-03-20 23:04:40 UTC
EMS (Ethiopian Media Services),43469446,221000,996,2023-03-20 23:04:40 UTC
ESATtv Ethiopia,157648959,641000,8237,2023-03-20 23:04:40 UTC
ETHIO 251 MEDIA ,12843813,107000,908,2023-03-20 23:04:40 UTC
Ethio 360 Media,227165668,581000,3963,2023-03-20 23:04:40 UTC
Ethio News - ኢትዮ ኒውስ,28455220,163000,1403,2023-03-20 23:04:40 UTC
EthioTube,40290812,223000,1748,2023-03-20 23:04:40 UTC
Feta Daily News,147379569,582000,968,2023-03-20 23:04:40 UTC
GEBEYANU,10255881,107000,627,2023-03-20 23:04:40 UTC
MENELIK TELEVISION 3,184606,2330,101,2023-03-20 23:04:40 UTC
Mager Media - ማገር ,1194589,22700,318,2023-03-20 23:04:40 UTC
Mengizem Media ምንጊዜም ሚዲያ,3600366,31000,1268,2023-03-20 23:04:40 UTC
OMN,109910466,512000,9604,2023-03-20 23:04:40 UTC
Reyot,42618871,189000,2050,2023-03-20 23:04:40 UTC
Roha ,11198685,94600,935,2023-03-20 23:04:40 UTC
Terara Network,3389539,45100,276,2023-03-20 23:04:40 UTC
Tigrai Media House,154655838,351000,5432,2023-03-20 23:04:40 UTC
Zara Media Network - ዛራ,20729475,128000,392,2023-03-20 23:04:40 UTC
Zemedkun Bekele Podcast,594767,14100,80,2023-03-20 23:04:40 UTC
ኢትዮ ሰላም  Ethio Selam,2644907,35000,113,2023-03-20 23:04:40 UTC
ዓባይ ዜና - Abbay News,17697397,335000,1159,2023-03-20 23:04:40 UTC
