title,viewCount,subscriberCount,videoCount,retrievedAt
ዓባይ ዜና - Abbay News,15355078,324000,995,2022-12-29T22:34:55Z
Adebabay Media,12166946,93500,875,2022-12-29T22:34:55Z
Ashara Media - አሻራ ሚዲያ,1846962,28700,494,2022-12-29T22:34:55Z
EMS (Ethiopian Media Services),34081555,207000,687,2022-12-29T22:34:55Z
ESATtv Ethiopia,194791022,637000,8552,2022-12-29T22:34:55Z
Reyot,37587608,177000,1955,2022-12-29T22:34:55Z
Ethio 360 Media,201589204,525000,3690,2022-12-29T22:34:55Z
Abebe Belew,26082280,140000,980,2022-12-29T22:34:55Z
Mengizem Media ምንጊዜም ሚዲያ,3030557,27700,1068,2022-12-29T22:34:55Z
Feta Daily News,131556722,548000,821,2022-12-29T22:34:55Z
Andafta,253762965,866000,5702,2022-12-29T22:34:55Z
ETHIO 251 MEDIA,9342912,87400,810,2022-12-29T22:34:55Z
Ethio News - ኢትዮ ኒውስ,24361630,152000,1252,2022-12-29T22:34:55Z
ዓባይ ዜና - Abbay News,15387872,324000,998,2022-12-30T23:35:50Z
Mengizem Media ምንጊዜም ሚዲያ,3038399,27800,1071,2022-12-30T23:35:50Z
Ethio News - ኢትዮ ኒውስ,24430340,152000,1254,2022-12-30T23:35:50Z
OMN,103776813,488000,9065,2022-12-30T23:35:50Z
ETHIO 251 MEDIA,9379685,88900,811,2022-12-30T23:35:50Z
Adebabay Media,12177186,93500,875,2022-12-30T23:35:50Z
Abebe Belew,26108997,140000,981,2022-12-30T23:35:50Z
Tigrai Media House,150651474,346000,5143,2022-12-30T23:35:50Z
Andafta,253951588,866000,5707,2022-12-30T23:35:50Z
Feta Daily News,131819003,548000,823,2022-12-30T23:35:50Z
Ethio 360 Media,201901413,526000,3695,2022-12-30T23:35:50Z
GEBEYANU,10129586,107000,594,2022-12-30T23:35:50Z
Ashara Media - አሻራ ሚዲያ,1857188,28800,497,2022-12-30T23:35:50Z
EMS (Ethiopian Media Services),34233162,207000,691,2022-12-30T23:35:50Z
Reyot,37678140,177000,1956,2022-12-30T23:35:50Z
Mager Media - ማገር,1079307,21500,290,2022-12-30T23:35:50Z
ESATtv Ethiopia,194906424,637000,8558,2022-12-30T23:35:50Z
OMN,103915469,489000,9074,2023-01-01T16:17:23Z
Mager Media - ማገር,1082456,21500,291,2023-01-01T16:17:23Z
ETHIO 251 MEDIA,9564068,90200,813,2023-01-01T16:17:23Z
ESATtv Ethiopia,195138625,637000,8566,2023-01-01T16:17:23Z
Adebabay Media,12182872,93500,875,2023-01-01T16:17:23Z
Ethio 360 Media,202572435,527000,3698,2023-01-01T16:17:23Z
Feta Daily News,132251872,549000,826,2023-01-01T16:17:23Z
Ethio News - ኢትዮ ኒውስ,24529809,153000,1255,2023-01-01T16:17:23Z
Andafta,254354079,866000,5713,2023-01-01T16:17:23Z
Tigrai Media House,150768590,346000,5146,2023-01-01T16:17:23Z
GEBEYANU,10135245,107000,594,2023-01-01T16:17:23Z
ዓባይ ዜና - Abbay News,15431189,324000,1001,2023-01-01T16:17:23Z
Ashara Media - አሻራ ሚዲያ,1877818,28900,500,2023-01-01T16:17:23Z
Terara Network,3378898,44000,276,2023-01-01T16:17:23Z
Reyot,37836974,178000,1957,2023-01-01T16:17:23Z
EMS (Ethiopian Media Services),34558833,208000,698,2023-01-01T16:17:23Z
Mengizem Media ምንጊዜም ሚዲያ,3054166,27800,1077,2023-01-01T16:17:23Z
Abebe Belew,26194814,141000,982,2023-01-01T16:17:23Z
Ethio 360 Media,202835723,528000,3703,2023-01-03T01:12:34Z
EMS (Ethiopian Media Services),34641895,208000,704,2023-01-03T01:12:34Z
Andafta,254481791,867000,5717,2023-01-03T01:12:34Z
Ethio News - ኢትዮ ኒውስ,24541358,153000,1255,2023-01-03T01:12:34Z
Reyot,37876200,178000,1958,2023-01-03T01:12:34Z
Mager Media - ማገር,1084398,21500,291,2023-01-03T01:12:34Z
GEBEYANU,10137366,107000,594,2023-01-03T01:12:34Z
ETHIO 251 MEDIA,9607188,91400,815,2023-01-03T01:12:34Z
ESATtv Ethiopia,195222374,638000,8576,2023-01-03T01:12:34Z
OMN,103972807,489000,9087,2023-01-03T01:12:34Z
Mengizem Media ምንጊዜም ሚዲያ,3066349,28000,1081,2023-01-03T01:12:34Z
ዓባይ ዜና - Abbay News,15452296,325000,1003,2023-01-03T01:12:34Z
Adebabay Media,12185104,93600,876,2023-01-03T01:12:34Z
Terara Network,3379479,44100,276,2023-01-03T01:12:34Z
Abebe Belew,26219198,141000,983,2023-01-03T01:12:34Z
Ashara Media - አሻራ ሚዲያ,1884426,29000,503,2023-01-03T01:12:34Z
Feta Daily News,132410159,549000,828,2023-01-03T01:12:34Z
Tigrai Media House,150802763,346000,5152,2023-01-03T01:12:34Z
GEBEYANU,10141357,107000,594,2023-01-04T08:50:54Z
ETHIO 251 MEDIA,9801157,92000,816,2023-01-04T08:50:54Z
Ethio 360 Media,203573921,529000,3707,2023-01-04T08:50:54Z
ዓባይ ዜና - Abbay News,15493258,325000,1005,2023-01-04T08:50:54Z
OMN,104112772,489000,9093,2023-01-04T08:50:54Z
Andafta,254838882,867000,5721,2023-01-04T08:50:54Z
Adebabay Media,12202105,93700,877,2023-01-04T08:50:54Z
Mengizem Media ምንጊዜም ሚዲያ,3080024,28000,1084,2023-01-04T08:50:54Z
Ashara Media - አሻራ ሚዲያ,1904536,29100,506,2023-01-04T08:50:54Z
Feta Daily News,132853275,550000,831,2023-01-04T08:50:54Z
ESATtv Ethiopia,195455335,638000,8581,2023-01-04T08:50:54Z
Mager Media - ማገር,1085775,21500,291,2023-01-04T08:50:54Z
Ethio News - ኢትዮ ኒውስ,24616482,153000,1257,2023-01-04T08:50:54Z
