snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
Abebe Belew,30303247,152000,1062,2023-04-01 23:04:33 UTC
Adebabay Media,13036893,99400,914,2023-04-01 23:04:33 UTC
Alpha Media አልፋ ሚዲያ,5411148,40400,981,2023-04-01 23:04:33 UTC
Anchor Ethiopia ,6648079,80400,236,2023-04-01 23:04:33 UTC
Andafta,269542794,889000,5974,2023-04-01 23:04:33 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,669293,16100,89,2023-04-01 23:04:33 UTC
Ashara Media - አሻራ ሚዲያ,2971184,35100,771,2023-04-01 23:04:33 UTC
EMS (Ethiopian Media Services),44514734,222000,1046,2023-04-01 23:04:33 UTC
ESATtv Ethiopia,197405901,641000,8811,2023-04-01 23:04:33 UTC
ETHIO 251 MEDIA ,13187078,109000,912,2023-04-01 23:04:33 UTC
Ethio 360 Media,230124604,583000,4006,2023-04-01 23:04:33 UTC
Ethio News - ኢትዮ ኒውስ,29028481,164000,1430,2023-04-01 23:04:33 UTC
EthioTube,40330479,224000,1750,2023-04-01 23:04:33 UTC
Feta Daily News,149028357,583000,991,2023-04-01 23:04:33 UTC
GEBEYANU,10266427,107000,638,2023-04-01 23:04:33 UTC
MENELIK TELEVISION 3,246145,2910,129,2023-04-01 23:04:33 UTC
Mager Media - ማገር ,1213374,22900,322,2023-04-01 23:04:33 UTC
Mengizem Media ምንጊዜም ሚዲያ,3660557,31200,1296,2023-04-01 23:04:33 UTC
OMN,110513467,513000,9670,2023-04-01 23:04:33 UTC
Reyot,43204588,189000,2069,2023-04-01 23:04:33 UTC
Roha ,11563335,95200,975,2023-04-01 23:04:33 UTC
Terara Network,3389884,45100,276,2023-04-01 23:04:33 UTC
Tigrai Media House,155145214,351000,5473,2023-04-01 23:04:33 UTC
Zara Media Network - ዛራ,21515125,129000,418,2023-04-01 23:04:33 UTC
ኢትዮ ሰላም  Ethio Selam,3032904,37700,120,2023-04-01 23:04:33 UTC
ዓባይ ዜና - Abbay News,17843758,335000,1182,2023-04-01 23:04:33 UTC
