title,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
ዓባይ ዜና - Abbay News,15387872,324000,False,998
Mengizem Media ምንጊዜም ሚዲያ,3038399,27800,False,1071
Ethio News - ኢትዮ ኒውስ,24430340,152000,False,1254
OMN,103776813,488000,False,9065
ETHIO 251 MEDIA ,9379685,88900,False,811
Adebabay Media,12177186,93500,False,875
Abebe Belew,26108997,140000,False,981
Tigrai Media House,150651474,346000,False,5143
Andafta,253951588,866000,False,5707
Feta Daily News,131819003,548000,False,823
Ethio 360 Media,201901413,526000,False,3695
GEBEYANU,10129586,107000,False,594
Ashara Media - አሻራ ሚዲያ,1857188,28800,False,497
EMS (Ethiopian Media Services),34233162,207000,False,691
Reyot,37678140,177000,False,1956
Mager Media - ማገር ,1079307,21500,False,290
ESATtv Ethiopia,194906424,637000,False,8558
