title,description,publishedAt,thumbnails,country,relatedPlaylists,viewCount,subscriberCount,videoCount,topicCategories
Tigrai Media House,"TMH’s mission is to enrich the lives of Tigray people by providing captivating media through nonpartisan journalism. TMH will promote community dialogue through exchanging information across different social, cultural, geographical, regional, and ideological boundaries. This dialogue will assist in TMH’s endeavor to enhance tolerance, social integration, and mutual coexistence among all east African people. ",2018-09-02T14:01:50Z,https://yt3.ggpht.com/ii707AKK1ru4nB2vuUM_qEEmc9z5sKzdTnbJkyVVFZmTjaTMQn2JUA1KxP8_cx8QpcKFm-eZbgk=s800-c-k-c0x00ffffff-no-rj,US,UUBvvcSYeDriczyImdI1qZWw,150888661,346000,5160,['https://en.wikipedia.org/wiki/Society']
GEBEYANU,"GEBEYANU is popular for its highly professional and influential TV and
Radio programs. Its involvement began even before it is officially
renamed as GEBEYANU. It started with the name Solomon Shumiye to
be the first private program producer on ETV since 1992 E.C.
GEBEYANU and/or Solomon Shumiye have been familiar brands of the
media business for more than 19 years. Backed by creative talent and
higher education, GEBEYANU’s effort significantly influenced the
industry and now replicating of its content and/or format has become
common experience. The following are among the major productions
that have been transmitted on the national broadcaster, EBC and
Nahoo TV.",2018-09-29T09:13:46Z,https://yt3.ggpht.com/ytc/AMLnZu8IFtePSWxyQbd1GyML89e6L-m0EMApt2zQbjHd=s800-c-k-c0x00ffffff-no-rj,US,UUb9fEB6StrknyRiSSzQ7H0A,10141357,107000,594,['https://en.wikipedia.org/wiki/Society']
Ashara Media - አሻራ ሚዲያ,,2022-05-11T13:20:06.187435Z,https://yt3.ggpht.com/C1Cwzi-rhKsg17sJakFGdCuLmqCbWZX-w7v6rqPjuXW5KiqS98Uk2QFmKbHeLatUJS7mIX9VdQ=s800-c-k-c0x00ffffff-no-rj,US,UUPmgFzP2ZPmdGjHxXjigJaw,1904536,29100,507,['https://en.wikipedia.org/wiki/Society']
ESATtv Ethiopia,"Ethiopian Satellite Television and Radio is the first publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the glob. Ethiopia, a country with a population of close to 110 million people,  ESAT will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its listeners in Ethiopia and glob.",2018-05-10T17:30:16Z,https://yt3.ggpht.com/ytc/AMLnZu_jKZ-mFsKh5Ey9sWlxAIQco4Ln1UO91KHua22x=s800-c-k-c0x00ffffff-no-rj,US,UUSYM-vgRrMYsZbG-Z7Kz0Pw,195455335,638000,8586,['https://en.wikipedia.org/wiki/Society']
ETHIO 251 MEDIA ,"#Ethio_251_Media #Ethiopia #ethiopia_today 
የSubscribe Ethio 251 News Channel 

https://www.youtube.com/channel/UCN300jmMg6DsO2wECkleq0w
ETHIO 251 MEDIA is an independent media offering you News, Political Analysis and Information feeds from Addis Ababa, Ethiopia.

Enjoy our wide collection of Ethiopian, African and worldwide News and more contents by subscribing to our channel.
",2021-01-17T15:07:48.315237Z,https://yt3.ggpht.com/RZpmh--2mLaZIgJzk_Gcw9giYNS6eV8XNfXxzJ9sjNoanEaooswCL8skHcEeIF9zivledwW9Bw=s800-c-k-c0x00ffffff-no-rj,KE,UUUOJQ0kAEqms79eY37hH-Jg,9801157,92200,817,['https://en.wikipedia.org/wiki/Society']
Andafta,"Andafta Is Ethiopian multi-platform entertainment and media company ,Powered by its own proprietary technology. Andafta is the go-to source for tech, digital culture and entertainment content for its dedicated and influential audience around the nation as well for the globe.",2017-07-07T08:46:55Z,https://yt3.ggpht.com/ytc/AMLnZu9_DZRLZIBLUN8XHb8OmJ2SWC5W0ewkGwJ111JW=s800-c-k-c0x00ffffff-no-rj,US,UUwMHDoJO6cHO6LN1BItFsPQ,254838882,867000,5726,['https://en.wikipedia.org/wiki/Society']
Terara Network,"We were founded on September 26, 2020 by vetran Ethiopian journalist Tamerat Negera Feyisa as a platform for exploring, defining & promoting Ethiopianist ideas through quality web based journalism & commentary. Terara aspires to discuss issues in Politics, Economics, Education, Arts & Letters of Ethiopia & the greater horn. The seed money to start Terara was raised by Tamerat’s friend, Tariku Geleta through crowd funding campaign on December 8, 2019 that enabled Tamerat’s fans around the world to be connected for a common cause of founding an Ethiopianist media in the public sphere. ",2020-09-26T06:58:30.652446Z,https://yt3.ggpht.com/ytc/AMLnZu9elXMPAOYbk4BfSxp2ONGLcZrrAqAL2s2EoQyJ=s800-c-k-c0x00ffffff-no-rj,US,UU_f89AbX5NPU77YaoaSKRSg,3379880,44100,276,['https://en.wikipedia.org/wiki/Society']
Ethio 360 Media,,2019-06-04T17:59:54Z,https://yt3.ggpht.com/ytc/AMLnZu8UtzvuSlCyzVqs4LLMYo4XYUU5fg9s6kn2-mUg=s800-c-k-c0x00ffffff-no-rj,US,UUvr6jA3WYOhXFUD2LKpqhQw,203573921,529000,3710,['https://en.wikipedia.org/wiki/Society']
Reyot,ርዕዮት የኢትዮጲያና ኢትዮጲያዊነትን ሁለንተና የሚቃኝ፣ የሀገርንና የህዝብን ጉዳዮች በብዙ መንገዶች ተደራሽ የሚያደርግ፣ በርካታ ዝግጅቶችና አቀራረቦች ያሉት የሚድያ ተቋም ነው፡፡  Reyot Media expounds on everything Ethiopian across multiple platforms and formats that our audience find wherever they are.,2014-08-06T19:51:23Z,https://yt3.ggpht.com/ytc/AMLnZu8OJs_lVmDM_41QwoycGDQtRpI7pD4ik4PaaCjHUQ=s800-c-k-c0x00ffffff-no-rj,US,UUPVr1rrKl8pXVFi-rrqzS1g,38008154,178000,1961,['https://en.wikipedia.org/wiki/Society']
Ethio News - ኢትዮ ኒውስ,"Ethio News provides news, news analysis, opinions on current affairs, produces documentaries, among others, on range of issues in Ethiopia and the Horn of Africa.",2020-11-13T11:38:22.416086Z,https://yt3.ggpht.com/ytc/AMLnZu_7-xVafUuPz9o-gHuAOQdHTBVrdToGBIHxyzak=s800-c-k-c0x00ffffff-no-rj,US,UUelbYFUaQW3eb9sg3004ZGw,24616482,153000,1258,['https://en.wikipedia.org/wiki/Society']
